Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed,Description
Bulbasaur,318,45,49,49,65,65,45,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon.
Ivysaur,405,60,62,63,80,80,60,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
Venusaur,525,80,82,83,100,100,80,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
Mega Venusaur,625,80,100,123,122,120,80,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
Charmander,309,39,52,43,60,50,65,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
Charmeleon,405,58,64,58,80,65,80,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
Charizard,534,78,84,78,109,85,100,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
Mega Charizard,634,78,130,111,130,85,100,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
Mega Charizard X,634,78,104,78,159,115,100,A brutal Pokemon with pressurized water jets on its shell. They are used for high speed tackles.
Squirtle,314,44,48,65,50,64,43,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
Wartortle,405,59,63,80,65,80,58,"This Pokemon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
Blastoise,530,79,83,100,85,105,78,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
Mega Blastoise,630,79,103,120,135,115,78,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
Caterpie,195,45,30,35,20,20,45,"Almost incapable of moving, this Pokemon can only harden its shell to protect itself from predators."
Metapod,205,50,20,55,25,25,30,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
Butterfree,395,60,45,50,90,80,70,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
Weedle,195,40,35,30,20,20,50,"Very protective of its sprawling territorial area, this Pokemon will fiercely peck at any intruder."
Kakuna,205,45,25,50,25,25,35,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
Beedrill,395,65,90,40,45,80,75,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
Mega Beedrill,495,65,150,40,15,80,145,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
Pidgey,251,40,45,40,35,35,56,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
Pidgeotto,349,63,60,55,50,50,71,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
Pidgeot,479,83,80,75,70,70,101,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
Mega Pidgeot,579,83,80,80,135,80,121,It is rumored that the ferocious warning markings on its belly differ from area to area.
Rattata,253,30,56,35,25,35,72,"When several of these Pokemon gather, their electricity could build and cause lightning storms."
Mega Rattata,253,30,56,35,25,35,72,Its long tail serves as a ground to protect itself from its own high-voltage power.
Raticate,413,55,81,60,50,70,97,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
Mega Raticate,413,75,71,70,40,80,77,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
Spearow,262,40,60,30,31,31,70,"Although small, its venomous barbs render this Pokemon dangerous. The female has smaller horns."
Fearow,442,65,90,65,61,61,100,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
Ekans,288,35,60,44,40,54,55,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
Arbok,448,60,95,69,65,79,80,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
Pikachu,320,35,55,40,50,50,90,An aggressive Pokemon that is quick to attack. The horn on its head secretes a powerful venom.
Mega Pikachu,430,45,80,50,75,60,120,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
Raichu,485,60,90,55,90,80,110,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
Mega Raichu,485,60,85,50,95,85,110,A timid fairy Pokemon that is rarely seen. It will run and hide the moment it senses people.
Sandshrew,300,50,75,85,20,30,40,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
Mega Sandshrew,300,50,75,90,10,35,40,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
Sandslash,450,75,100,110,45,55,65,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
Mega Sandslash,450,75,100,120,25,65,65,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
Nidoran♀,275,55,47,52,40,40,41,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
Nidorina,365,70,62,67,55,55,56,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
Nidoqueen,505,90,92,87,75,85,76,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
Nidoran♂,273,46,57,40,40,40,50,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
Nidorino,365,61,72,57,55,55,65,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
Nidoking,505,81,102,77,85,75,85,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
Clefairy,323,70,45,48,60,65,35,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
Clefable,483,95,70,73,95,90,60,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
Vulpix,299,38,41,40,50,65,65,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.
Mega Vulpix,299,38,41,40,50,65,65,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
Ninetales,505,73,76,75,81,100,100,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
Mega Ninetales,505,73,67,75,81,100,109,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.
Jigglypuff,270,115,45,20,45,25,20,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
Wigglytuff,435,140,70,45,85,50,45,"While lulling its enemies with its vacant look, this wily Pokemon will use psychokinetic powers."
Zubat,245,40,45,35,30,40,55,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
Golbat,455,75,80,70,65,75,90,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
Oddish,320,45,50,55,75,65,30,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
Gloom,395,60,65,70,85,75,40,Very protective of its territory. It will bark and bite to repel intruders from its space.
Vileplume,490,75,80,85,110,90,50,A Pokemon that has been admired since the past for its beauty. It runs agilely as if on wings.
Paras,285,35,70,55,45,55,25,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
Parasect,405,60,95,80,60,80,30,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
Venonat,305,60,55,50,40,55,45,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
Venomoth,450,70,65,60,90,75,90,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
Diglett,265,10,55,25,35,45,95,It emits special alpha waves from its body that induce headaches just by being close by.
Mega Diglett,265,10,55,30,35,45,90,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
Dugtrio,425,35,100,50,50,70,120,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
Mega Dugtrio,425,35,100,60,50,70,110,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
Meowth,290,40,45,35,40,40,90,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
Mega Meowth,290,40,35,35,50,40,90,A carnivorous Pokemon that traps and eats bugs. It uses its root feet to soak up needed moisture.
Mega Meowth X,290,50,65,55,40,40,40,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
Persian,440,65,70,60,65,65,115,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
Mega Persian,440,65,60,60,75,65,115,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
Psyduck,320,50,52,48,65,50,55,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
Golduck,500,80,82,78,95,80,85,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
Mankey,305,40,80,35,35,45,70,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
Primeape,455,65,105,60,60,70,95,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
Growlithe,350,55,70,45,70,50,60,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
Arcanine,555,90,110,80,100,80,95,"Very competitive, this Pokemon will chase anything that moves fast in the hopes of racing it."
Poliwag,300,40,50,40,40,40,90,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
Poliwhirl,385,65,65,65,50,50,90,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
Poliwrath,510,90,95,95,70,90,70,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
Abra,310,25,20,15,105,55,90,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
Kadabra,400,40,35,30,120,70,105,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
Alakazam,500,55,50,45,135,95,120,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
Mega Alakazam,600,55,50,65,175,105,150,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
Machop,305,70,80,50,35,35,35,The protruding horn on its head is very hard. It is used for bashing through thick ice.
Machoke,405,80,100,70,50,60,45,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
Machamp,505,90,130,80,65,85,55,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
Bellsprout,300,50,75,35,70,30,40,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
Weepinbell,390,65,90,50,85,45,55,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
Victreebel,490,80,105,65,100,70,70,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
Tentacool,335,40,40,35,50,100,70,"Almost invisible, this gaseous Pokemon cloaks the target and puts it to sleep without notice."
Tentacruel,515,80,70,65,80,120,100,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
